ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimientoID,nivelEscalamiento,UserInfo,tiempoResolucion
2406,Vandalismo,11-09-2024,Cerrada,"['654-95-3857', '268-77-2160']",['13622'],Bajo,"[['Dolores Vidal', 'soniaconesa@hotmail.com', '+34734313929'], ['Valero Calderón Viñas', 'baltasarariza@gmail.com', '+34876288723']]",-1.0
2407,Rotura,05-11-2023,Abierta,"['890-01-1532', '859-45-6969']",['462'],Bajo,"[['Mariano Mayoral Calderon', 'violeta16@hotmail.com', '+34726992317'], ['Leocadia De Ocaña', 'ssalvador@gmail.com', '+34707842567']]",42.0
2408,Rotura,26-11-2023,Abierta,"['567-65-8779', '303-40-3780', '776-72-0313']",['2749'],Bajo,"[['Lara Hernandez', 'cebrian51@yahoo.com', '+34721851834'], ['Gastón Velázquez', 'francisco-javiercoll@sarabia.org', '+34749713879'], ['Paco Diego Pablo', 'bbernad@hotmail.com', '+34744797894']]",206.0
2409,Desgaste,22-12-2023,Abierta,"['709-56-1471', '829-36-6863']",['3999'],Bajo,"[['Eulalia Tejera Elías', 'fabregasmaribel@yahoo.com', '+34696956725'], ['Quirino Arenas Prada', 'guadalupe35@perera.com', '+34731972858']]",265.0
2410,Vandalismo,07-07-2024,Cerrada,['634-96-2225'],['4860'],Bajo,"[['Begoña Blázquez-iniesta', 'ignacio56@hotmail.com', '+34709661174']]",-1.0
2411,Vandalismo,21-02-2024,Abierta,['798-67-8684'],['1037'],Bajo,"[['Fabio Muñoz', 'gironrosenda@zamorano-arranz.es', '+34741514701']]",121.0
2412,Desgaste,25-11-2023,Cerrada,['155-83-0966'],['14145'],Bajo,"[['Candela Páez Valero', 'falmagro@gutierrez.com', '+34968066332']]",77.0
2413,Vandalismo,09-02-2024,Abierta,['616-50-4285'],['313'],Bajo,"[['Claudio Sánchez Sala', 'marta83@yahoo.com', '+34711362546']]",174.0
2414,Rotura,06-02-2024,Abierta,['474-77-3587'],['5626'],Bajo,"[['Manolo Sanabria', 'cristobal28@hotmail.com', '+34675159084']]",4.0
2415,Rotura,16-10-2023,Cerrada,"['527-18-0212', '959-64-2679', '187-87-0352']",['451'],Bajo,"[['Marcial Soria Almansa', 'climacofranco@yahoo.com', '+34701344228'], ['Albino Del Pazos', 'ramiroramos@yahoo.com', '+34702973639'], ['Leoncio Amo Pi', 'colomaevelia@hotmail.com', '+34685171469']]",79.0
2416,Vandalismo,06-05-2024,Cerrada,['007-72-4754'],['3222'],Bajo,"[['José Bernal Piñeiro', 'hierroclara@cornejo.com', '+34749037968']]",42.0
2417,Vandalismo,10-11-2023,Cerrada,['686-69-3358'],"['10075', '12292']",Bajo,"[['Hector Anguita', 'ivelasco@llobet.es', '+34740170057']]",249.0
2418,Rotura,29-12-2023,Cerrada,['952-06-9269'],['7676'],Bajo,"[['Anabel Del Esparza', 'esmeraldaramon@amor.es', '+34863305862']]",267.0
2419,Rotura,12-11-2023,Cerrada,"['404-55-0783', '339-00-9481', '920-12-0005']",['694'],Bajo,"[['Jacinta Morante Manjón', 'josep36@prado-llopis.com', '+34972886239'], ['Ana Belén Llano Mesa', 'bernarda13@alegria.es', '+34911587749'], ['Adelina Del Bejarano', 'samuelberenguer@gmail.com', '+34875191231']]",199.0
2420,Vandalismo,01-02-2024,Abierta,['946-88-8893'],['841'],Bajo,"[['Otilia Bastida', 'abrilfuertes@gmail.com', '+34738275816']]",-1.0
2421,Desgaste,07-05-2024,Cerrada,['227-47-0723'],['5000'],Bajo,"[['Desiderio Victorino Pozo Baena', 'gala38@yahoo.com', '+34712829856']]",113.0
2422,Vandalismo,15-12-2023,Abierta,"['153-09-3577', '451-89-9204', '120-68-0482']","['3873', '8963', '9138']",Bajo,"[['Dimas Iñiguez Salcedo', 'pastoracarretero@gmail.com', '+34917858345'], ['Adrián Solano Saldaña', 'jeremias15@llorente.es', '+34901465105'], ['Piedad De Mata', 'felicidad24@yahoo.com', '+34965165520']]",273.0
2423,Rotura,03-04-2024,Cerrada,"['797-04-6512', '827-52-4274', '567-65-4996']","['1659', '9074', '11220']",Bajo,"[['Adrián Mora Cañas', 'anabel55@alfonso.es', '+34713146000'], ['Matilde Nogués', 'teodorochaparro@aparicio.com', '+34725676822'], ['Sebastián Guadalupe Chico Fiol', 'marisolheras@yahoo.com', '+34889909390']]",152.0
2424,Desgaste,28-07-2024,Abierta,"['974-78-3709', '704-54-9500', '373-93-1413']",['4136'],Bajo,"[['Efraín Mariscal Beltran', 'zcases@hotmail.com', '+34658719583'], ['Cristian Mesa Ayala', 'gil93@angel.es', '+34717926583'], ['Artemio Zabaleta Mayol', 'sosaagustina@yahoo.com', '+34613125614']]",-1.0
2425,Mal funcionamiento,19-04-2024,Abierta,"['647-92-7197', '544-57-1730']",['13376'],Bajo,"[['Rafaela Expósito', 'valleliliana@hotmail.com', '+34735793576'], ['Emilia De Malo', 'nbonet@maestre-acevedo.es', '+34661175945']]",4.0
2426,Vandalismo,27-08-2024,Abierta,['203-25-7388'],['4166'],Bajo,"[['Tristán Piñeiro Bou', 'petrona20@yahoo.com', '+34650340762']]",-1.0
2427,Rotura,31-05-2024,Cerrada,"['200-73-9859', '244-19-1807']",['12494'],Bajo,"[['Baudelio Perez-yuste', 'javiermoles@hotmail.com', '+34737156305'], ['Coral Irene Berenguer Trillo', 'adan57@melendez-ribes.com', '+34749043270']]",-1.0
2428,Vandalismo,02-04-2024,Cerrada,['118-83-3522'],"['463', '1317', '1738']",Bajo,"[['Natalia De Mateu', 'colomaeliana@hotmail.com', '+34718012803']]",169.0
2429,Vandalismo,24-11-2023,Abierta,['507-19-1882'],['6363'],Bajo,"[['Vicente Núñez-elorza', 'bernardinovizcaino@llano.es', '+34728888752']]",147.0
2430,Rotura,17-05-2024,Abierta,['433-31-5108'],['2741'],Bajo,"[['Visitación Del Tudela', 'velascotrinidad@yahoo.com', '+34743561275']]",-1.0
2431,Vandalismo,03-12-2023,Abierta,"['069-12-7217', '229-87-2554']",['2172'],Bajo,"[['Sandalio Fiol', 'carmina75@penalver-piquer.es', '+34737580850'], ['Encarnita Emilia Revilla Piña', 'celso96@hotmail.com', '+34706347077']]",-1.0
2432,Desgaste,21-12-2023,Abierta,"['596-15-5807', '579-67-6206', '981-10-1586']","['783', '5055']",Bajo,"[['Roberta De Cózar', 'paulinapriego@guerrero-roman.com', '+34707391624'], ['Carmelita Angulo Casals', 'quirogaelisa@flor.com', '+34809585713'], ['Ágata Cisneros', 'esperanzagalan@hotmail.com', '+34970013785']]",183.0
2433,Mal funcionamiento,15-09-2024,Cerrada,['920-61-5770'],['13359'],Bajo,"[['Jennifer Cañas Milla', 'barrosoraquel@hotmail.com', '+34724441465']]",-1.0
2434,Mal funcionamiento,11-01-2024,Abierta,"['877-04-6073', '299-82-9446']",['3596'],Bajo,"[['Salvador Guitart Teruel', 'pelaezdanilo@anton.es', '+34739992088'], ['Selena Isabela Cabrera Rey', 'ssosa@hotmail.com', '+34710051288']]",30.0
2435,Desgaste,16-01-2024,Abierta,"['862-17-6019', '974-75-2666', '901-36-5568']",['4695'],Bajo,"[['Damián Del Salamanca', 'osvaldo18@hotmail.com', '+34722244384'], ['Victoria Alcaraz Jódar', 'herbertopelayo@gmail.com', '+34704193095'], ['Eusebio Echeverría Cuervo', 'nildamiralles@yahoo.com', '+34731026039']]",28.0
2436,Mal funcionamiento,11-02-2023,Cerrada,"['700-32-6461', '364-47-9949', '112-07-6427']",['13174'],Bajo,"[['Hilario Goicoechea Colom', 'telmo22@gmail.com', '+34738133958'], ['Camila Oliver Catalán', 'adelina17@carreno-fabra.org', '+34718988683'], ['Agustín Larrañaga Salazar', 'eulalia94@yahoo.com', '+34744146008']]",477.0
2437,Rotura,14-03-2024,Abierta,['281-15-1489'],['6509'],Bajo,"[['Virgilio Barrera Guzmán', 'enrique09@gmail.com', '+34728431198']]",77.0
2438,Desgaste,17-10-2023,Cerrada,['187-87-0352'],['6275'],Bajo,"[['Leoncio Amo Pi', 'colomaevelia@hotmail.com', '+34685171469']]",323.0
2439,Rotura,07-01-2024,Abierta,"['164-99-5399', '052-58-2337', '883-68-9174']","['1394', '8723']",Bajo,"[['Ágata Romeu Galiano', 'figuerasdiana@gmail.com', '+34913628562'], ['Rosario Tormo Malo', 'losaeliana@casals-donoso.es', '+34746737737'], ['Vilma Hernandez-linares', 'qbadia@peiro-royo.es', '+34738827387']]",171.0
2440,Mal funcionamiento,13-12-2023,Abierta,"['181-15-6244', '181-21-7155', '649-60-0258']","['1274', '14502']",Bajo,"[['Ricardo Martí Bru', 'bernardocases@arias.es', '+34720548683'], ['Héctor Lobato Cifuentes', 'oliveamor@yahoo.com', '+34614536670'], ['Eligio Pedrero Caparrós', 'kmurillo@gmail.com', '+34741467592']]",123.0
2441,Mal funcionamiento,17-06-2024,Cerrada,['094-65-6431'],"['603', '9912']",Bajo,"[['Ema Viña Valentín', 'uzaragoza@yahoo.com', '+34708029328']]",-1.0
2442,Vandalismo,13-05-2024,Abierta,"['427-83-1299', '913-51-0261', '542-55-8206']",['5332'],Bajo,"[['Pepita Quiroga', 'tejadapili@yahoo.com', '+34860950468'], ['Eloísa Leandra Coronado Cueto', 'rllanos@iriarte.com', '+34745921433'], ['Elodia Clavero Vicens', 'montserratodalis@hotmail.com', '+34861009986']]",-1.0
2443,Desgaste,21-04-2024,Cerrada,"['659-03-9782', '581-28-3331']",['8809'],Bajo,"[['Leonel Bernat Porras', 'azorinviviana@yahoo.com', '+34724155479'], ['Claudio Garzón', 'vlopez@baron.net', '+34709930308']]",119.0
2444,Mal funcionamiento,25-04-2024,Cerrada,"['642-75-1325', '316-95-2923']","['2617', '4857', '6620']",Bajo,"[['María Jesús Pablo-arellano', 'ramirezeric@carmona-abellan.org', '+34928013924'], ['Apolinar Giralt Clemente', 'estevezdebora@gmail.com', '+34749509052']]",106.0
2445,Vandalismo,22-11-2023,Cerrada,['409-09-8052'],['11317'],Bajo,"[['Vera Alfaro Lorenzo', 'cintia06@recio-sales.com', '+34712610017']]",32.0
2446,Mal funcionamiento,20-07-2024,Abierta,"['984-29-8075', '292-34-2410']","['2710', '12855']",Bajo,"[['Emperatriz De Teruel', 'pmaldonado@hotmail.com', '+34717739013'], ['Sofía Porcel Nogués', 'contrerasluis-angel@donoso.org', '+34847284258']]",81.0
2447,Vandalismo,26-09-2024,Abierta,"['397-50-9964', '686-85-7792', '562-19-2187']",['10281'],Bajo,"[['Ale Marcos-amador', 'agapito99@yahoo.com', '+34843669344'], ['Eduardo Corral Quiroga', 'eva-maria37@yahoo.com', '+34829968172'], ['Hernando Ramos Fonseca', 'guijarrosantos@hotmail.com', '+34620427634']]",-1.0
2448,Desgaste,25-05-2024,Cerrada,"['020-63-5241', '668-19-8230']",['2808'],Bajo,"[['Bonifacio Aguirre', 'wpeiro@hotmail.com', '+34707034118'], ['Susanita Tirado Espinosa', 'dvega@yahoo.com', '+34801743048']]",108.0
2449,Vandalismo,13-12-2023,Cerrada,"['805-55-2100', '834-21-1410', '705-91-9110']",['9778'],Bajo,"[['Heliodoro Cerezo', 'solsonachucho@salgado-urrutia.com', '+34700806194'], ['Rubén Ayllón Galiano', 'maria-cristinasegovia@arcos.org', '+34737422759'], ['Adora Arribas Arcos', 'tvallejo@carrasco-banos.com', '+34743987626']]",236.0
2450,Vandalismo,08-06-2024,Cerrada,"['361-15-0312', '261-75-9612', '159-82-3119']",['13764'],Bajo,"[['Flavia Del Figueras', 'florenciabueno@hotmail.com', '+34917191171'], ['Sofía Saavedra Anguita', 'garcialeoncio@acuna.es', '+34742327621'], ['Mariano Tristán Gonzalez Leal', 'monrealtamara@pombo.org', '+34725349664']]",-1.0
2451,Desgaste,13-07-2024,Cerrada,"['506-38-8046', '336-90-8879', '773-06-3189']",['10412'],Bajo,"[['Adelaida Giménez Mur', 'mbayon@yahoo.com', '+34732166230'], ['Flavio Cortes Sotelo', 'arocalupe@hotmail.com', '+34726273118'], ['Xiomara Gisela Escudero Sancho', 'nazaret94@tolosa-guardia.es', '+34976396484']]",-1.0
2452,Desgaste,06-07-2024,Abierta,['397-94-8782'],['9130'],Bajo,"[['Fortunata Miguel Quevedo', 'candidaamador@yahoo.com', '+34723590009']]",-1.0
2453,Rotura,11-08-2024,Cerrada,"['948-01-2420', '746-14-8748']","['25', '1934']",Bajo,"[['Maxi Arregui-diego', 'dsalgado@hotmail.com', '+34608423966'], ['Almudena Vallejo Zamorano', 'solalfonso@ponce-hervia.es', '+34623544239']]",-1.0
2454,Mal funcionamiento,29-06-2024,Cerrada,"['339-00-9481', '110-63-5560', '163-93-7696']",['5433'],Bajo,"[['Ana Belén Llano Mesa', 'bernarda13@alegria.es', '+34911587749'], ['Sancho Olivé', 'lilloflorentina@gmail.com', '+34971004137'], ['Sandra Vargas Vera', 'mmilla@gmail.com', '+34714590506']]",-1.0
2455,Desgaste,27-12-2023,Abierta,['769-48-5230'],"['142', '1436']",Bajo,"[['Candela Borrell', 'torrentsrosalva@palacios-torrents.es', '+34705098894']]",171.0
2456,Mal funcionamiento,25-08-2024,Abierta,"['257-33-7852', '636-83-7601', '893-74-0723']",['6207'],Bajo,"[['Ainara Ángel Pardo', 'ingridcampos@gmail.com', '+34722468826'], ['Nazario Peiró', 'dominga40@jerez.com', '+34696119184'], ['Rosa María Cabo-murcia', 'leocadio02@giralt.net', '+34720354161']]",-1.0
2457,Mal funcionamiento,11-04-2024,Abierta,"['898-87-6287', '189-90-8568', '191-72-4106']",['12457'],Bajo,"[['Isaías Calzada-domingo', 'graciano01@gmail.com', '+34727624860'], ['Tiburcio Amaya Giner', 'balduinoguillen@yahoo.com', '+34990277658'], ['Maristela Soler Uría', 'opedrosa@gomez.es', '+34689198335']]",105.0
2458,Desgaste,10-09-2024,Cerrada,"['420-02-4147', '798-79-6994', '796-43-8308']",['8076'],Bajo,"[['Irma Jáuregui Aguado', 'valentincastillo@hotmail.com', '+34721900513'], ['Lucas Gallardo-bernat', 'jcoll@chamorro-espinosa.com', '+34721202806'], ['Bernardita Gascón', 'mendezmanuela@sastre.com', '+34822390145']]",-1.0
2459,Mal funcionamiento,25-09-2024,Cerrada,['989-26-3407'],['2734'],Bajo,"[['Martin Torrent-navarrete', 'ayalaamerica@cabeza.net', '+34719532649']]",-1.0
2460,Desgaste,11-10-2024,Cerrada,"['868-84-4720', '868-93-4544']",['2306'],Bajo,"[['Ciro Huerta Santiago', 'alvarezcalixto@noriega.es', '+34722596068'], ['Marco Tapia Páez', 'lope28@yahoo.com', '+34738389502']]",-1.0
2461,Mal funcionamiento,28-05-2024,Abierta,['644-68-0145'],"['2156', '13193']",Bajo,"[['Moisés Cantero Julián', 'baenasegismundo@hotmail.com', '+34724321262']]",-1.0
2462,Rotura,08-10-2024,Abierta,['952-59-7111'],['4022'],Bajo,"[['Rosendo De Iniesta', 'luciosaldana@gmail.com', '+34715047026']]",-1.0
2463,Mal funcionamiento,09-07-2024,Abierta,"['374-73-9093', '608-27-5166', '465-25-9061']",['12865'],Bajo,"[['Mario Ruano Villalonga', 'canalesbegona@yahoo.com', '+34726211821'], ['Apolonia Escribano Valenciano', 'zaroca@cabanillas-pombo.org', '+34719449600'], ['Luciana Jimenez Moraleda', 'petrona84@hotmail.com', '+34701242849']]",9.0
2464,Desgaste,04-09-2024,Cerrada,['139-18-0549'],"['6310', '13671']",Bajo,"[['Graciano Ibáñez', 'pascualagelabert@hotmail.com', '+34702266461']]",-1.0
2465,Desgaste,25-10-2023,Abierta,"['889-91-1000', '305-88-1519']",['8248'],Bajo,"[['María Teresa Ropero Campillo', 'fpedro@villa.com', '+34725545453'], ['Natanael De Gallo', 'cpou@hotmail.com', '+34724587325']]",103.0
2466,Vandalismo,24-08-2024,Cerrada,['750-10-3647'],['5834'],Bajo,"[['María Dolores Pellicer Chaves', 'herbertoarjona@hotmail.com', '+34719420613']]",-1.0
2467,Desgaste,20-12-2023,Cerrada,"['087-33-1310', '524-40-3081']","['10075', '12292']",Bajo,"[['René Montserrat', 'salgadociro@yahoo.com', '+34641347388'], ['Raquel Calderón Vera', 'ogonzalez@larranaga-estevez.com', '+34740665923']]",209.0
2468,Mal funcionamiento,01-11-2023,Cerrada,['415-58-9654'],['12912'],Bajo,"[['Juan Bautista Ruiz Morata', 'maria-jesusgoni@gmail.com', '+34723425394']]",194.0
2469,Desgaste,06-10-2024,Abierta,"['546-45-1536', '666-47-6491']",['3913'],Bajo,"[['Celestina Gutierrez Andreu', 'evangelinaoliva@flores.com', '+34939228571'], ['Ariel Alemán Mancebo', 'godoyteo@rosa-patino.es', '+34726235663']]",-1.0
2470,Desgaste,25-04-2024,Cerrada,['686-69-3358'],['9585'],Bajo,"[['Hector Anguita', 'ivelasco@llobet.es', '+34740170057']]",39.0
2471,Desgaste,12-04-2023,Abierta,"['954-74-4163', '891-68-1268']",['1037'],Bajo,"[['Selena Zapata Llanos', 'geraldopi@gmail.com', '+34735400580'], ['Reynaldo Lucas Segovia', 'ofeliabenavent@arana-casanova.org', '+34674805764']]",436.0
2472,Mal funcionamiento,26-07-2024,Cerrada,"['202-23-0343', '431-56-3897']",['6253'],Bajo,"[['Verónica Méndez Sánchez', 'zmarti@gmail.com', '+34957181877'], ['Fanny Aragonés-bayo', 'tadan@garces-castello.es', '+34739033440']]",-1.0
2473,Vandalismo,27-07-2024,Abierta,"['324-42-0437', '525-44-7911']",['1796'],Bajo,"[['Aroa Fortunata Pineda Moraleda', 'sorianosusana@gmail.com', '+34725544698'], ['Encarnita Navas Feliu', 'rodayaiza@hotmail.com', '+34855296451']]",-1.0
2474,Desgaste,21-12-2023,Cerrada,['289-12-3709'],['5342'],Bajo,"[['Jose Clemente Valbuena', 'tvaquero@hotmail.com', '+34896909105']]",283.0
2475,Vandalismo,25-09-2024,Abierta,"['110-18-1254', '782-33-5851', '856-33-3920']",['570'],Bajo,"[['Baldomero Álvaro Blázquez', 'munizflavia@yahoo.com', '+34868910783'], ['Edgardo Piña-pujadas', 'csantana@antunez.org', '+34705560826'], ['Estela Bautista Aragonés', 'aparicioamerica@anaya-palmer.com', '+34871325373']]",-1.0
2476,Desgaste,04-12-2023,Cerrada,['545-00-3707'],['10781'],Bajo,"[['América Zaragoza Ribas', 'vsolis@gmail.com', '+34739316555']]",290.0
2477,Desgaste,30-07-2024,Cerrada,"['358-48-6252', '840-99-4096']",['14341'],Bajo,"[['Haydée Pedrero Ruano', 'eustaquio87@carpio.com', '+34802145301'], ['Amelia Méndez', 'cvilalta@gmail.com', '+34935331532']]",-1.0
2478,Vandalismo,08-09-2024,Abierta,"['549-28-7148', '428-50-8611']",['13436'],Bajo,"[['Samanta Muro', 'ballesteramaya@suarez-flor.es', '+34890777066'], ['Alejandra Dominga Salas Nebot', 'tportero@yahoo.com', '+34718422490']]",-1.0
2479,Mal funcionamiento,21-06-2024,Abierta,['025-19-5689'],['4574'],Bajo,"[['Amor Dueñas Guardia', 'jalberdi@acevedo-ribera.org', '+34708390295']]",-1.0
2480,Mal funcionamiento,06-02-2024,Abierta,"['329-52-0214', '425-70-6473']","['10307', '11092']",Bajo,"[['Juanita Vallés Calderón', 'brueda@hotmail.com', '+34734025074'], ['Candelas Vilaplana', 'nacio26@alvaro-alamo.es', '+34842772758']]",239.0
2481,Vandalismo,10-12-2023,Cerrada,"['877-31-4665', '289-24-7258', '080-41-4649']",['7675'],Bajo,"[['Gregorio Cid Perales', 'jafet65@hotmail.com', '+34840119812'], ['Viviana Pazos', 'narvaezanselmo@hotmail.com', '+34733417149'], ['Aura Vergara Ochoa', 'ariba@davila-carlos.com', '+34820948888']]",187.0
2482,Rotura,09-10-2024,Abierta,"['002-41-8436', '647-09-4052', '399-68-4275']","['3466', '6802', '10474']",Bajo,"[['Felicia Quesada Manso', 'reyespomares@gmail.com', '+34728642953'], ['Ofelia Del Camacho', 'luz44@montesinos.es', '+34725521736'], ['Marco Espejo Perera', 'elarrea@segura-moran.es', '+34724723912']]",-1.0
2483,Rotura,10-05-2024,Cerrada,"['910-62-1364', '868-93-4544']",['10266'],Bajo,"[['Joaquín Belmonte Donaire', 'eugeniagranados@yahoo.com', '+34731895171'], ['Marco Tapia Páez', 'lope28@yahoo.com', '+34738389502']]",-1.0
2484,Vandalismo,25-08-2024,Cerrada,"['749-06-5613', '383-31-9502']","['4162', '7685']",Bajo,"[['Ruperto Victor Alsina Serna', 'jordantorrijos@gmail.com', '+34647522006'], ['Odalis Flores Hurtado', 'pedrosacarlito@yahoo.com', '+34708871116']]",30.0
2485,Vandalismo,19-10-2023,Abierta,"['459-32-1635', '676-26-2496', '661-89-3142']","['9026', '14700']",Bajo,"[['Tamara Garcia Valbuena', 'paco77@gmail.com', '+34702115672'], ['Rodrigo Torrijos Nicolau', 'valeroalberola@gmail.com', '+34732965659'], ['Eustaquio Antúnez Serra', 'aura80@casado.net', '+34610642233']]",326.0
2486,Mal funcionamiento,03-11-2023,Cerrada,"['375-11-5409', '774-95-8715']",['4134'],Bajo,"[['Eutimio Salom Pizarro', 'paola78@hotmail.com', '+34745628398'], ['Lara Albero-españa', 'ocerda@hotmail.com', '+34748797504']]",170.0
2487,Mal funcionamiento,24-01-2024,Abierta,['990-78-3631'],"['7840', '9318', '11136']",Bajo,"[['Norberto Perelló Peñas', 'olivia40@yahoo.com', '+34738762759']]",38.0
2488,Desgaste,30-03-2024,Cerrada,['865-70-1340'],"['1932', '4157']",Bajo,"[['Jordana Armengol Ferrándiz', 'icoronado@macias-catalan.com', '+34737586059']]",193.0
2489,Mal funcionamiento,30-06-2024,Abierta,['574-34-0871'],"['778', '1608']",Bajo,"[['Marita De Sanchez', 'lbonet@hotmail.com', '+34810445472']]",41.0
2490,Desgaste,06-03-2024,Cerrada,"['274-33-0128', '909-88-1208']","['5133', '8962']",Bajo,"[['Porfirio Dueñas Ros', 'josefina58@yahoo.com', '+34744874994'], ['David Jáuregui', 'manceboarcelia@bastida-pla.com', '+34710256851']]",16.0
2491,Rotura,08-02-2024,Abierta,['130-54-3649'],['9691'],Bajo,"[['Calixto Rodriguez Barreda', 'melchor78@gmail.com', '+34718889518']]",150.0
2492,Mal funcionamiento,17-01-2024,Cerrada,"['655-28-7821', '145-41-7383']",['7535'],Bajo,"[['Zaira Silva-cases', 'lasarosa@gmail.com', '+34930413871'], ['Asdrubal Armengol', 'lamascatalina@hotmail.com', '+34720857247']]",199.0
2493,Mal funcionamiento,11-06-2023,Abierta,"['484-41-3087', '393-36-2257', '928-37-7412']",['4100'],Bajo,"[['Julia Arjona Barberá', 'lplanas@plana.com', '+34986761381'], ['Anastasia Del Álvaro', 'juan-pablo09@aguilo.com', '+34993167917'], ['Perla Padilla Nicolás', 'jovita47@marino-campoy.es', '+34722346482']]",397.0
2494,Vandalismo,17-01-2024,Abierta,['198-94-4692'],['8185'],Bajo,"[['Jose Luis Blazquez Rosado', 'vilaltaapolonia@hotmail.com', '+34721514564']]",193.0
2495,Rotura,07-06-2024,Cerrada,"['903-25-2403', '679-92-3574']",['14306'],Bajo,"[['Tere Rivero Castell', 'reyestirado@yahoo.com', '+34825164475'], ['Noé Barral Cerdá', 'queromaximiano@cuervo.es', '+34641858476']]",58.0
2496,Rotura,29-02-2024,Cerrada,"['761-13-3157', '099-03-7004', '989-26-3407']",['13082'],Bajo,"[['Trinidad Navarrete-cerdán', 'tquintanilla@hotmail.com', '+34739927967'], ['Nicodemo Abril Rius', 'ibanezpaca@solana.org', '+34970320506'], ['Martin Torrent-navarrete', 'ayalaamerica@cabeza.net', '+34719532649']]",112.0
2497,Rotura,14-05-2024,Abierta,"['368-73-1706', '166-09-8882', '850-92-5459']",['10482'],Bajo,"[['Belen Alcalá Chico', 'cocapurificacion@cuesta-casas.es', '+34742769063'], ['Benito Cabañas Tolosa', 'fperales@amor-rovira.com', '+34702207009'], ['Jaime Seguí', 'rmanso@gmail.com', '+34718173343']]",-1.0
2498,Vandalismo,12-07-2024,Abierta,"['907-22-6752', '743-24-6606']",['12288'],Bajo,"[['Bruno Borrell Cáceres', 'nazaretzorrilla@gmail.com', '+34742760301'], ['Calixta Bartolomé-escribano', 'noriegaalvaro@hotmail.com', '+34735909601']]",147.0
2499,Vandalismo,18-01-2024,Cerrada,"['328-39-7150', '661-43-9555']",['14338'],Bajo,"[['Eutimio Falcó', 'jose-ramoncastejon@toro.com', '+34838444040'], ['Pánfilo Acevedo Noguera', 'jimenadiez@lasa-rio.net', '+34742183758']]",64.0
2500,Rotura,11-04-2024,Cerrada,"['124-12-4122', '581-62-6156', '809-29-2009']","['1146', '9205']",Bajo,"[['Juan Pablo Jordá Ortiz', 'ovilar@hotmail.com', '+34711353684'], ['Leonardo Gaspar Bernal Verdugo', 'fanny35@yahoo.com', '+34731327392'], ['Vicenta Salamanca Río', 'apolinarperales@serrano.com', '+34707141160']]",-1.0
2501,Vandalismo,14-04-2024,Abierta,"['407-01-4528', '691-55-6206']",['1174'],Bajo,"[['Anastasio Verdú Miró', 'yherranz@hotmail.com', '+34642815328'], ['José Manuel Del Sobrino', 'bernardino63@pozo.com', '+34724047014']]",178.0
2502,Mal funcionamiento,18-01-2024,Cerrada,['794-21-3563'],['10554'],Bajo,"[['Delia Solé Garzón', 'mauricioruano@hotmail.com', '+34739376772']]",-1.0
2503,Rotura,18-05-2024,Abierta,"['292-72-4809', '115-36-1353']",['8024'],Bajo,"[['Roberto Adelardo Viñas Casares', 'alcoleapascuala@casal-valencia.es', '+34719136587'], ['Asdrubal Calvet Olmedo', 'ccastillo@santana-echeverria.net', '+34718588293']]",-1.0
2504,Vandalismo,15-03-2024,Cerrada,"['277-07-0790', '761-76-9648', '280-49-8040']","['1192', '6511']",Bajo,"[['María Jesús Del Vendrell', 'chusbarrera@carlos-caro.org', '+34828621718'], ['Omar Del Mate', 'pguerrero@exposito-anglada.com', '+34998331322'], ['Sol Becerra-rodriguez', 'fidelespanol@arco-jerez.es', '+34638591703']]",177.0
2505,Mal funcionamiento,10-07-2024,Cerrada,"['322-81-8693', '812-32-5084', '632-08-4041']",['7707'],Bajo,"[['Jerónimo Pereira Ojeda', 'eva-mariaacero@yahoo.com', '+34741340109'], ['Vicente Mateu Fernandez', 'lcastells@cervantes-aguilera.com', '+34810335193'], ['Apolinar Fidel Catalá Arregui', 'martinjordan@hotmail.com', '+34722520997']]",53.0
2506,Desgaste,03-02-2024,Cerrada,"['334-54-9587', '177-53-9068']",['2374'],Bajo,"[['José Manuel Gámez Catalán', 'herviajavier@roda.org', '+34823635104'], ['África Borrell Coca', 'xfrias@gmail.com', '+34746874789']]",244.0
2507,Vandalismo,31-01-2024,Cerrada,"['659-01-4227', '698-40-4583']",['741'],Bajo,"[['María Madrigal Noriega', 'domitila33@marquez.es', '+34732189256'], ['Pío De Botella', 'salvadorisa@gmail.com', '+34708491365']]",216.0
2508,Rotura,20-10-2023,Cerrada,"['346-87-8860', '893-45-7704']","['2323', '9329', '10517']",Bajo,"[['Abel Montserrat Berrocal', 'juanajuarez@carretero-sanmartin.es', '+34725540256'], ['Anita Botella Vila', 'faustino85@hoyos.es', '+34738593164']]",277.0
2509,Rotura,16-11-2023,Cerrada,"['226-35-3441', '166-46-1656']","['344', '4060']",Bajo,"[['Camila Querol Raya', 'carrascodolores@palomo.com', '+34712709286'], ['Martina Adelina Benito Garcés', 'vbernat@soto-belmonte.es', '+34706002701']]",90.0
2510,Mal funcionamiento,12-08-2024,Cerrada,"['035-06-2817', '914-02-0298']",['1147'],Bajo,"[['Mayte De Pinto', 'qmari@quintero-azorin.org', '+34991468883'], ['Yolanda Castejón Arnal', 'redondopelayo@vilanova.org', '+34726558182']]",-1.0
